"Frase","Data","Local","Cidade","AtaqueInstituicoes","AtaqueLaicidade","AtaqueMidia","Remover"
"eu também falei para todo mundo: que estava havendo fraude nas eleições ataque as eleições",2022-06-07,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"Vendam as suas capas, comprem espadas, está naquele livro que nós chamamos de Bíblia Sagrada. Ali mesmo para quem não é cristão existem muitos ensinamentos para a nossa vida",2022-06-25,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"Nós somos a maioria, a democracia é vocês, vocês tem que dar o norte para todos nós",2022-06-25,"","","Ordem","Nenhuma","Nenhuma","Remover"
"a nossa grande força é a nossa fé",2022-06-25,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Vocês hoje tem um governo que acredita em Deus",2022-06-24,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Entendo que é uma missão de Deus a minha eleição",2022-06-24,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Deus, Pátria, Família e liberdade.",2022-06-18,"","","Ordem","Ordem","Nenhuma","Remover"
"eu não sou obrigado a acreditar no operador da máquina.",2022-06-18,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"No início de novembro, pinta uma denúncia na imprensa, que havia tido fraude nas eleições de ataque as eleições0liberdade de imprensa8 E tínhamos uma presidente do TSE e ela mandou imediatamente a Polícia Federal abrir um inquérito, deve ter passado na cabeça dela, por favor, não estou acusando. Vamos tirar o Bolsonaro e botar o Haddad, ou vamos resgatar a credibilidade no TSE, que tem uma denúncia grave de corrupção, de fraude",2022-06-18,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"Os hackers ficaram dentro dos computadores do TSE desde o início de março até o fim do segundo turno",2022-06-18,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"Nós fomos para dentro do TSE, levantamos mais de 500 vulnerabilidades, vocês não ouviram errado, mais de 500 vulnerabilidade",2022-06-18,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"O momento de hoje aqui é de glorificar o nosso Deus",2022-06-18,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-06-18,"","","Ordem","Ordem","Nenhuma","Remover"
"Jamais podia esperar ser o Presidente da República. Creio que o destino traçado e por Ele, me fez chegar até aqui",2022-06-17,"","","Nenhuma","Recomendação e Sugestão","Nenhuma","Remover"
"Deus salvou a minha vida em ataque as eleições0liberdade de imprensa8, e depois me deu também uma eleição",2022-06-17,"","","Nenhuma","Recomendação e Sugestão","Nenhuma","Remover"
"Não é fácil ser presidente da República, mas eu entendo que isso é uma missão do criador",2022-06-17,"","","Nenhuma","Recomendação e Sugestão","Nenhuma","Remover"
"Brasil acima de tudo e Deus acima de todos",2022-06-17,"","","Ordem","Ordem","Nenhuma","Remover"
"foi um momento que a mão de Deus foi colocada sobre o Brasil",2022-06-14,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"E assim foi feito em ataque as eleições0liberdade de imprensa8, eu ganhei no primeiro turno, mas não vou entrar em detalhe aqui",2022-06-14,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"Eu posso apresentar falhas, eu posso dizer como foi as eleições de  que no meu entendimento, técnico o Aécio ganhou",2022-06-14,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"eu ganhei no primeiro turno",2022-06-14,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"o Datafolha é que vai validar o nome de quem vai ser votado",2022-06-14,"","","Nenhuma","Nenhuma","Recomendação e Sugestão","Remover"
"Eu sou do tempo em que quem ganhava eleição era quem tinha voto dentro da urna e não amigo contando na sala cofre",2022-06-14,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"Convido as Forças Armadas a integrar uma comissão de transparência eleitoral, as Forças Armadas descobrem mais de 500 vulnerabilidades",2022-06-14,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
